projection_x,projection_y
239,316
251,304
246,322
239,348
246,353
253,362
254,377
265,395
274,405
274,426
251,427
224,429
214,441
214,462
211,478
210,494
207,516
213,541
216,536
220,555
219,572
219,596
209,605
207,622
208,626
205,644
210,676
210,718
220,767
223,834
226,879
242,980
265,1091
288,1238
331,1375
377,1547
420,1787
437,2052
472,2359
508,2722
554,3057
570,3418
590,3676
617,3924
628,4164
634,4428
670,4668
690,4960
716,5215
728,5464
751,5760
796,6035
877,6277
931,6556
1009,6850
1173,7164
1339,7478
1575,7838
1821,8177
2116,8471
2402,8724
2743,8970
3075,9135
3396,9300
3718,9465
4067,9595
4394,9713
4696,9804
4977,9876
5237,9944
5527,10008
5810,10055
6087,10095
6373,10162
6663,10197
6981,10206
7245,10220
7550,10221
7875,10189
8189,10141
8465,10073
8713,10024
8916,9952
9117,9850
9273,9752
9406,9637
9543,9484
9663,9339
9762,9148
9866,8940
9926,8722
9995,8506
10038,8241
10068,7899
10097,7590
10117,7269
10140,6954
10172,6623
10178,6256
10185,5949
10159,5698
10128,5520
10078,5089
9995,4710
9914,4320
9816,3937
9671,3597
9534,3223
9337,2903
9160,2581
8972,2259
8780,1945
8510,1646
8209,1401
7898,1211
7571,1096
7248,1037
6930,987
6623,944
6338,950
6045,920
5739,895
5445,862
5143,844
4861,852
4567,848
4260,845
3904,844
3566,805
3235,795
2901,789
2557,754
2256,758
1973,762
1724,709
1506,669
1288,645
1103,602
943,573
833,562
753,529
688,492
639,477
587,0
570,0
534,0
511,0
492,0
464,0
448,0
426,0
382,0
360,0
347,0
346,0
326,0
316,0
308,0
286,0
279,0
272,0
242,0
223,0
208,0
200,0
192,0
191,0
189,0
189,0
179,0
170,0
168,0
164,0
163,0
156,0
147,0
146,0
147,0
145,0
143,0
145,0
143,0
143,0
143,0
143,0
144,0
143,0
143,0
150,0
155,0
155,0
